Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Player Cost,Player Cost Note,
113,Daniel Jackson,C,Georgia,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgeorgiadogs.com%2Fimages%2F2025%2F8%2F19%2FJackson__Daniel.JPG&width=180&height=270&type=webp,113,"$691,000","$691,000",,
114,Shane Sdao,LHP,Texas A&M,C,https://12thman.com/images/2025/1/14/Sdao_-Shane.jpg,114,"$684,300","$684,300",,
115,Ethan Bass,SS/RHP,Glenbrook North,H,https://pbs.twimg.com/media/GuK_mf8XwAAo59e?format=jpg&name=large,115,"$677,500","$1,400,000",,
116,Jason DeCaro,RHP,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2024%2F11%2F14%2FDecaro_Jason.2025.bb.137.jpg&width=180&height=270&type=webp,116,"$670,900","$670,900",,
117,Wes Mendes,LHP,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2024%2F9%2F2%2FMendes__Wes.JPG&width=180&height=270&type=webp,117,"$664,500","$664,500",,
118,Ethan Norby,LHP,East Carolina,C,https://bloximages.newyork1.vip.townnews.com/reflector.com/content/tncms/assets/v3/editorial/d/e9/de9b2404-fbb6-11ef-9da9-5b9a3210c728/67cb938ede876.image.jpg?crop=1127%2C702%2C30%2C260&resize=803%2C500&order=crop%2Cresize,118,"$658,100","$658,100",,
119,Brayden Dowd,OF,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2025%2F8%2F25%2FDowd__Brayden_25-264RL__024_.JPG&width=180&height=270&type=webp,119,"$651,500","$651,500",,
120,Mulivai Levu,1B,UCLA,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2024%2F12%2F10%2FLevu_Mulivai01.png&width=180&height=270&type=webp,120,"$645,100","$645,100",,
121,Julian Garcia,RHP,St. John Bosco High School,H,https://pbs.twimg.com/profile_images/1768994195904299008/Rx8D6P-l_400x400.jpg,121,"$638,800","$1,400,000",,
122,Brett Renfrow,RHP,Virginia Tech,C,https://hokiesports.com/imgproxy/9kQiRDV0UFycoNJHQHn6sJRY_InZCOFtWrgHGZN6yo0/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3ZpcmdpbmlhdGVjaC1wcm9kLzIwMjQvMTAvMTAvc1VtSWFPNXBQU0lMQ05oVEp0dVVLdVJEeFpvVkxUZGUxajJIQmw3dC5qcGc.jpg,122,"$632,500","$632,500",,
123,Caden Bogenpohl,OF,Missouri State,C,https://missouristatebears.com/images/2024/10/30/Caden_Bogenpohl_8118_AwTmW.jpg,123,"$626,500","$626,500",,
124,Keon Johnson,SS,First Presbyterian Day,H,https://image.maxpreps.io/careers/0/8/8/0888f6f2-c8ec-4ad0-a622-24d9547d00d1/thumbnail.jpg?version=638829215237510550,124,"$620,300","$1,400,000",,
125,Dee Kennedy,SS,Kansas State,C,https://www.kstatesports.com/images/2024/9/30/Dee_Kennedy_2025.png,125,"$614,500","$614,500",,
126,Andruw Giles,OF,Basic,H,https://pbs.twimg.com/profile_images/1942046335462440960/VoL-tgrw_400x400.jpg,126,"$609,200","$1,400,000",,"$1,400,000"
127,Malachi Washington,OF,Parkview,H,https://pbs.twimg.com/profile_images/1832986692325724160/F0eCbuMM_400x400.jpg,127,"$603,500","$1,400,000",,"$1,400,000"
128,Jake McCoy,LHP,South Carolina,C,https://gamecocksonline.com/imgproxy/aP0aYXPGOwF6Jt-Z4YQw9Ey5mjuWQ3na8qdflsXQTAA/fit/564/832/ce/0/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dhbWVjb2Nrc29ubGluZS1jb20vMjAyNC8xMS80YTcwYWY4Mi1tY2NveS1qYWtlLmpwZw.png,128,"$597,400","$597,400",,
129,Jaden Jackson,SS/OF,St. John Bosco,H,https://www.presstelegram.com/wp-content/uploads/2025/05/LPT-L-HSB-BOSCO-JSER-16x9-1.jpg?w=620,129,"$591,700","$1,400,000",,
130,Wil Libbert,LHP,Ole Miss,C,https://pbs.twimg.com/profile_images/1934326530311659520/Qq4ZUpjr.jpg,130,"$585,700","$585,700",,
131,Ryan Peterson,RHP,Sam Houston State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgobearkats.com%2Fimages%2F2025%2F10%2F11%2F2026_Headshots_Peterson_Ryan_zf7UE.jpg&width=180&height=270&type=webp,131,"$581,100","$581,100",,
132,Steele Murdock,RHP,UC San Diego,C,https://images.sidearmdev.com/convert?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fucsdtritons.com%2Fimages%2F2025%2F4%2F30%2FSteele_Murdock_vs_CSUN-2.png&type=webp,132,"$575,300","$575,300",,
133,Isaiah Galason,SS,Houston County,H,https://pbs.twimg.com/profile_images/1888943956504756224/e_ZA_r_a_400x400.jpg,133,"$569,600","$1,200,000",,
134,Reece Moroney,SS,Rhode Island,C,https://gorhody.com/images/2024/9/23/WEB_Moroney_Reece25_copy.jpg?width=300,134,"$563,900","$563,900",,
135,Sean Dunlap,C,Crown Point,H,https://i0.wp.com/www.chicagotribune.com/wp-content/uploads/2025/04/PTB-L-BAS-DUNLAP-042025-01.jpg?fit=620%2C9999px&ssl=1,135,"$558,400","$1,400,000",,
136,Ryan Marohn,LHP,NC State,C,https://gopack.com/images/2025/8/20/Ryan_Marohn.png,136,"$553,100","$553,100",,"$1,400,000"
137,Duncan Marsten,RHP,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FDuncan_Marsten_Headshot_0d58K.JPG&width=180&height=270&type=webp,137,"$547,700","$547,700",,
138,Jake Schaffner,SS,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2025%2F10%2F2%2FSchaffner_Jake.2026.bb..2833.jpg&width=180&height=270&type=webp,138,"$542,200","$542,200",,
139,Thomas Burns,RHP,Texas,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftexassports_com%2Fimages%2F2025%2F1%2F18%2FBurns_Thomas-Cropped-2025.jpg&width=180&height=270&type=webp,139,"$536,900","$536,900",,
140,Brady Harris,OF,Trinity Christian Academy,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/pssqlqwwemin8xqcub0l.jpg",140,"$532,000","$1,400,000",,
141,Elliot Lascelles,SS,Upper Canada College,H,https://digitalshift-assets.sfo2.cdn.digitaloceanspaces.com/pw/6bccf042-d1a5-452e-a526-a37813bd2593/p-3d9b8e55-9360-4637-a29a-e0f5402ba783/1731456446-1223.jpg,141,"$526,600","$1,200,000",,
142,Noah Danza,OF,Clearview,H,"https://on3static.com/cdn-cgi/image/height=417,width=795,quality=90,fit=cover,gravity=0.5x0.5/uploads/dev/assets/cms/2025/06/15193328/noah-danza2.jpg",142,"$521,500","$1,200,000",,
143,Gavin Grahovac,3B,Texas A&M,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftamu.sidearmsports.com%2Fimages%2F2025%2F1%2F14%2FGrahovac_-Gavin.jpg&width=180&height=270&type=webp,143,"$516,300","$516,300",,
144,Brady Snow,RHP,American Heritage,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/3234860.jpeg,144,"$511,400","$1,200,000",,"$1,400,000"
145,Camden Kozeal,2B,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/8-Cam-Kozeal-BSB-2025-121261-1x1-1.jpg,145,"$506,100","$506,100",,
146,Alex Overbay,RHP,Arizona State,C,https://thesundevils.com/imgproxy/SowR74ZhXVLbGpXwI8Sf8tSMBCOjSyjR3fC02BY0hUQ/rs:fit:480:0:0:0/q:85/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3RoZXN1bmRldmlscy1jb20tcHJvZC8yMDI1LzA5LzEyL0xYZ0VzYzVadjlOanlPWTVSSzVJY0RPelNzTGFoSW5MWkVYdDlNSzIuanBn.jpg,146,"$501,300","$501,300",,"$1,400,000"
147,Tyson LeBlanc,SS,Kansas,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fukansas.sidearmsports.com%2Fimages%2F2025%2F10%2F8%2FLeBlanc_Tyson.JPG.jpg&width=180&height=270&type=webp,147,"$496,400","$496,400",,"$1,400,000"
148,Cal Randall,RHP,UCLA,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2024%2F12%2F10%2FRandall_Cal01.png&width=180&height=270&type=webp,148,"$491,700","$491,700",,"$1,400,000"
149,Clayton Freshcorn,RHP,Texas A&M,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftamu.sidearmsports.com%2Fimages%2F2025%2F1%2F14%2FFreshcorn_-Clayton.jpg&width=180&height=270&type=webp,149,"$486,800","$486,800",,
150,Jaxon Willits,SS,Oklahoma,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsoonersports.com%2Fimages%2F2024%2F8%2F28%2FBB_Headshots_Jaxon_Willits_OUA06568.JPG&width=180&height=270&type=webp,150,"$481,800","$481,800",,
151,Roman Martin,SS,UCLA,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2024%2F12%2F10%2FMartin_Roman01.png&width=180&height=270&type=webp,151,"$476,900","$476,900",,
152,Jack Brenner,C/SS,Fond Du Lac,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/8420772.jpg,152,"$472,500","$1,100,000",,
153,Tre Broussard,OF,Houston,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuhcougars.com%2Fimages%2F2024%2F8%2F23%2FBroussard_Tre.jpg&width=180&height=270&type=webp,153,"$467,700","$467,700",,
154,Jordan Ransom,SS/OF,Queen Creek,H,https://pbs.twimg.com/profile_banners/1629930924334010375/1754163581/600x200,154,"$463,200","$1,100,000",,
155,Teagan Scott,C,South Salem,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/yb3b6mwyucejyzobiq0h.jpg",155,"$458,500","$1,100,000",,"$1,100,000"
156,Jet Berry,2B/OF,Queen Creek,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtrHTqhU0jpNPguDv-Ha-m3eCzi78zxqbuZw&s,156,"$454,100","$1,100,000",,
157,Grant Govel,RHP,Southern California,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fusctrojans.com%2Fimages%2F2025%2F12%2F17%2FGovel__Grant.jpg&width=180&height=270&type=webp,157,"$449,500","$449,500",,
158,Cal Scolari,RHP,Oregon,C,https://pbs.twimg.com/media/Gvgtv9IakAE1brL?format=jpg&name=4096x4096,158,"$445,200","$445,200",,
159,Erik Paulsen,1B,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2025%2F10%2F2%2FPaulson_Erik.2026.bb.2716.jpg&width=180&height=270&type=webp,159,"$441,300","$441,300",,
160,James Tronstein,OF/SS,Harvard-Westlake,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/pdxtcvvkm5zl8rsirsmj.jpg",160,"$437,200","$1,400,000",,
161,Carson Jasa,RHP,Nebraska,C,https://huskers.com/imgproxy/2OBI9OgIRv7HyyHsUd5fLEABIg-bfUbmaabmdlteSVQ/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2h1c2tlcnMtY29tLXByb2QvMjAyNS8wMS8yMS9WN21wS3AzOVZKanJhd3lTa3ljVjNhTVdOcHdmWkxnNldOaGsydGZhLmpwZw.jpg,161,"$433,200","$433,200",,"$1,100,000"
162,Jarren Purify,2B,Clemson,C,https://clemsontigers.com/imgproxy/4BCPDN8dIR29Jh1wMvK2Pc1xMy2Sx2UcHBpack6NoVw/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NsZW1zb250aWdlcnMtY29tLzIwMjUvMTEvUHVyaWZ5SmFycmVuLmpwZw.jpg,162,"$429,100","$429,100",,"$1,100,000"
163,Blake Bryant,RHP,Citizens Christian Academy,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/4097217.jpeg,163,"$425,400","$1,000,000",,"$1,100,000"
164,Hudson Brown,1B,Kentucky,C,https://www.batcatscentral.com/content/images/2025/08/HudsonBrown2.webp,164,"$421,300","$421,300",,"$1,100,000"
165,Hayden Johnson,LHP,Coastal Carolina,C,https://goccusports.com/images/2025/8/26/JOHNSON_HAYDEN.jpg?width=300,165,"$417,400","$417,400",,"$1,100,000"
166,Ben Tryon ,1B/OF,Dallas Baptist,C,https://dbupatriots.com/images/2024/12/18/Tryon__Ben.jpg,166,"$413,900","$413,900",,
167,Tyler Putnam,RHP,Battle,H,https://bloximages.newyork1.vip.townnews.com/columbiamissourian.com/content/tncms/assets/v3/editorial/0/20/020d7d9b-191a-44fb-8444-2a4283b586a6/663adddfe55ed.image.jpg,167,"$410,300","$1,000,000",,
168,Daniel Cuvet,3B,Miami,C,https://s3media.247sports.com/Uploads/Assets/29/269/12269029.jpg,168,"$406,800","$406,800",,"$1,100,000"
169,Alex Conover,OF,Oklahoma State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fokstate.com%2Fimages%2F2024%2F9%2F21%2FConover_Alex_o3FlJ.JPG&width=180&height=270&type=webp,169,"$403,500","$403,500",,"$1,100,000"
170,Matthew Kelley,SS/OF,Basic,H,https://pbs.twimg.com/media/F2PVyU5WgAAtMzD?format=jpg&name=large,170,"$399,800","$1,000,000",,
171,Eric Guevara,3B,Auburn,C,https://auburntigers.com/imgproxy/Nbi-HDlCxPWKotxRkGnaM5V14XHZHXI82BQHx-iw-sw/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2F1YnVybi1wcm9kLzIwMjYvMDEvMjkvczlaaFlHNExEd2hXMVRpVmVQTmpGVldrNVdDZTZYQUxnR1VhUEpwVS5qcGc.jpg,171,"$396,300","$396,300",,
172,Brody Schumaker,SS,Santa Margarita,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/mzv88mzejiwyuc0dqzeo.jpg",172,"$393,100","$1,000,000",,"$1,100,000"
173,Deacon Nelson,SS,University School,H,https://pbs.twimg.com/media/GvXQeGBWIAAABNf?format=jpg&name=large,173,"$389,900","$1,000,000",,
174,Ricky Ojeda,LHP,UC Irvine,C,https://ucirvinesports.com/images/2024/11/26/Ricky_Ojeda.JPG,174,"$386,500","$386,500",,
175,Steven Milam,2B/SS,LSU,C,"https://www.theadvertiser.com/gcdn/authoring/images/smg/2024/06/07/USAT/73928734007-USATSI_23432217.jpeg?crop=1445,1925,x577,y0",175,"$383,400","$383,400",,
176,Cam Johnson,LHP,Oklahoma,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsoonersports.com%2Fimages%2F2025%2F9%2F9%2FCameron_Johnson_Headshot.jpg&width=180&height=270&type=webp,176,"$380,200","$380,200",,
177,Gavin Gallaher,2B,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2024%2F11%2F14%2FGallaher_Gavin.2025.bb.141.jpg&width=180&height=270&type=webp,177,"$377,000","$377,000",,
178,Deven Sheerin,RHP,LSU,C,"https://images2.minutemediacdn.com/image/upload/c_crop,w_1366,h_768,x_0,y_58/c_fill,w_1200,ar_1:1,f_auto,q_auto,g_auto/images/voltaxMediaLibrary/mmsport/lsu_country/01j0e2ejy07jgvdqpk66.jpg",178,"$373,800","$373,800",,"$1,100,000"
179,Robert Omidi,SS,St. Martin,H,https://pbs.twimg.com/profile_images/1863604578433802240/eRovkw7f_400x400.jpg,179,"$370,600","$1,000,000",,
180,Ethan McElvain,LHP,Arkansas,C,https://media.zenfs.com/en/knwa_fayetteville_articles_688/c4e65907cd6ec09de4fcf2dc1b83fde1,180,"$367,600","$367,600",,
181,Trevor Hansen,RHP,UC Irvine,C,https://ucirvinesports.com/images/2025/10/9/28hansen26.jpg?width=300,181,"$364,600","$364,600",,"$1,100,000"
182,Matthew Thomas,OF,Cal State Northridge,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fcsun.sidearmsports.com%2Fimages%2F2025%2F8%2F28%2F_4_Matthew_Thomas.jpg&width=180&height=270&type=webp,182,"$361,900","$361,900",,"$1,100,000"
183,Tommy LaPour,RHP,TCU,C,https://gofrogs.com/images/2024/10/30/Tommy_LaPour_Headshot.png?width=300,183,"$358,900","$358,900",,
184,Luke Costello,OF,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FLuke_Costello_Headshot_gpjcl.JPG&width=180&height=270&type=webp,184,"$355,700","$355,700",,
185,Cody Boshell,1B/OF,Bishop Snyder,H,https://image.maxpreps.io/careers/2/1/3/213d1929-faf7-4a1b-bbdd-a548dd5ef019/thumbnail.jpg?version=638907860942994194,185,"$352,900","$1,000,000",,
186,Connor Shouse,3B/OF,Texas Tech,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftexastech.com%2Fimages%2F2025%2F10%2F1%2FBaseball_Headshots_Shouse_Connor_HS.png&width=180&height=270&type=webp,186,"$350,100","$350,100",,
187,Keller Bradley,RHP,Pennsbury,H,"https://www.phillyburbs.com/gcdn/authoring/authoring-images/2025/05/21/NBCC/83773533007-keller-bradley.jpg?crop=474,631,x0,y0",187,"$347,300","$1,000,000",,"$1,100,000"
188,Joe Tiroly,2B,Virginia,C,https://virginiasports.com/imgproxy/cPhKIAPBIi8M-mIVwimTcCS_k8dl-OJsJvWluhz6yUU/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Zpcmdpbmlhc3BvcnRzLWNvbS1wcm9kLzIwMjYvMDIvMDQvWGZYSlNEUVRkTk9zTnFhb0tYR2ZJMW5EMjNVSENqc2J1ekFnaXlhUS5wbmc.png,188,"$344,400","$344,400",,"$1,100,000"
189,Drew Christine,LHP,St. Johns College,H,https://pbs.twimg.com/media/GW_BBi7XcAAjnMW.jpg,189,"$341,800","$1,100,000",,"$1,100,000"
190,Kyle McDaniel,2B,Utah Tech,C,https://utahtechtrailblazers.com/images/2025/11/5/2026UtahTechBASE__14KMcDaniel.jpg?width=300,190,"$338,800","$338,800",,"$1,100,000"
191,Ben Cleary,SS,Santa Clara,C,https://santaclarabroncos.com/images/2026/1/16/Cleary_Ben.jpg?width=300,191,"$335,900","$335,900",,"$1,100,000"
192,Ryan Harwood,OF,Casteel,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/t3q2lpaoc4gjtul2lxe3.jpg",192,"$333,200","$1,100,000",,"$1,100,000"
193,Kael Barney,1B/OF,Nolinsville,H,https://pbs.twimg.com/media/G5kRLt5W8AAO4zJ.jpg,193,"$330,300","$1,100,000",,
194,Trey Rangel,RHP,The Colony,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/7195570.jpeg,194,"$327,700","$1,100,000",,
195,AJ Evasco,1B/OF,Kansas State,C,https://pbs.twimg.com/profile_images/1892383706410577920/JYc5ELPg_400x400.jpg,195,"$325,100","$325,100",,
196,Ross Norman,RHP,Coastal Carolina,C,https://goccusports.com/images/2025/8/26/NORMAN_ROSS_1nIF4.jpg?width=300,196,"$322,300","$322,300",,
197,Anthony Murphy,OF,Corona,H,https://image.maxpreps.io/careers/a/4/1/a4134182-c923-4849-8156-904fc2520511/thumbnail.jpg?version=638840722190256852,197,"$319,600","$1,100,000",,
198,Ryan Kucherak,SS,Northwestern,C,https://nusports.com/images/2025/1/13/17_Kucherak.jpeg,198,"$317,100","$317,100",,
199,Hunter Brown,RHP,North Hunterdon Regional,H,https://bloximages.chicago2.vip.townnews.com/newjerseyhills.com/content/tncms/assets/v3/editorial/7/05/7053b9f8-7fd5-431d-8265-67dd5215baa5/67f965eff10e1.image.jpg?resize=418%2C500,199,"$314,300","$1,000,000",,
200,Will Cutshall,SS,Seneca,H,https://pbs.twimg.com/profile_images/1789339552630366208/woKQ-M32_400x400.jpg,200,"$311,700","$1,000,000",,
201,Gavin Giese,RHP,Dana Hills,H,"https://image.maxpreps.io/rosters/b231ef20-6494-421f-b3a0-9ccbb82d678f/b/5/f/b5fecf64-cf54-4594-95d6-a6f271f819eb/original.jpg?version=638790537292731001&width=1024&crop=1:1,smart",201,"$310,000","$1,000,000",,
202,Colin Barczi,C,Vanderbilt,C,https://pbs.twimg.com/media/HBFAcfNaQAA_uPw?format=jpg&name=small,202,"$307,300","$307,300",,
203,Blake Morningstar,RHP,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FBlake_Morningstar_Headshot_zVOfY.JPG&width=180&height=270&type=webp,203,"$304,800","$304,800",,"$1,000,000"
204,Robbie Lavey,C/OF,George Washington,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgwsports.com%2Fimages%2F2023%2F9%2F1%2FRobbie_ioMxc.jpg&width=180&height=270&type=webp,204,"$302,300","$302,300",,"$1,000,000"
205,Luke McNeillie,RHP,Florida,C,https://floridagators.com/images/2025/1/6/McNeillie_Luke.jpg,205,"$299,700","$299,700",,
206,Gary Morse,RHP/OF,Orange Lutheran,H,https://oluathletics.org/images/2025/2/3/Gary_Morse_13_6DK1l.JPG,206,"$297,100","$1,000,000",,"$1,000,000"
207,Wilson Andersen,RHP/SS,Jesuit,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/elt1mx1rgbzgjyq6qs6k.jpg",207,"$294,800","$1,000,000",,"$1,000,000"
208,Max Kaufer,C,Wichita State,C,https://goshockers.com/images/2025/9/11/14_Max_Kaufer_eEFEi.jpg?width=300,208,"$292,300","$292,300",,"$1,000,000"
209,Wyatt Clatur,RHP,Nolensville,H,https://cdn2-sr-application.sportsrecruits.com/images/baseballrecruits/2024/7/b4a2ef192e04055812a895e4b5805b33.jpg,209,"$289,900","$1,000,000",,
210,Josh Gunther,RHP,South Carolina,C,https://gamecocksonline.com/imgproxy/KRCH4m-0KLVepEykjXvdp7u6b5xC9osVrldB7tLQ4Is/fit/564/832/ce/0/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dhbWVjb2Nrc29ubGluZS1jb20vMjAyNS8xMS9jZjEyMmI5Zi1ndW50aGVyX2pvc2gtc2NhbGVkLmpwZw.png,210,"$287,800","$287,800",,
211,Alex Harrington,SS,Cathedral Catholic,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/wnzurrgx3gxkak40ojva.jpg",211,"$285,400","$1,600,000",,
212,Max Bayles,RHP,Santa Clara,C,https://images.sidearmdev.com/convert?url=https%3A%2F%2Fdbukjj6eu5tsf.cloudfront.net%2Fsidearm.sites%2Fsantaclara.sidearmsports.com%2Fimages%2F2025%2F3%2F9%2FMax-Bayles_HBygr.jpg&type=webp,212,"$283,000","$283,000",,
213,Josiah Morris,SS,Clayton Valley,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/i0i1dnsrstr6hx9rpmtx.jpg",213,"$280,900","$1,000,000",,"$1,000,000"
214,Jerek Turlij,RHP,North East,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXea2W0uPHcgcw4LaDwsHS-IrbBy7YHDwq2w&s,214,"$278,700","$1,000,000",,
215,Genson Veras,OF,TNXL Academy,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfiKt3O3lw9YlrPkHr-OEUP8_yaHTX4iWtbw&s,215,"$276,400","$1,000,000",,
216,Chase Kiker,RHP,Metrolina Christian,H,"https://image.maxpreps.io/rosters/60d8912b-3aa4-4b23-b827-d9905c6c9a93/e/b/c/ebce0823-5f94-4fb2-b227-524471052bb0/original.jpg?version=637927218838026801&width=1024&crop=1:1,smart",216,"$274,300","$1,000,000",,
217,Cashel Dugger,C,UCLA,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2024%2F12%2F10%2FDugger_Cashel01.png&width=180&height=270&type=webp,217,"$272,000","$272,000",,
218,Julian Cazares,RHP,Los Banos,H,https://thewestsideexpress.com/wp-content/uploads/2024/11/Cazares1.jpeg,218,"$270,000","$1,000,000",,
219,Nathan Taylor,RHP,Cincinnati,C,https://pbs.twimg.com/profile_images/1879016777297928192/0iPsSmHM_400x400.jpg,219,"$267,800","$267,800",,
220,Trey Ebel,SS,Corona,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/vojjfze4dhmj4d0zw002.jpg",220,"$266,100","$1,000,000",,
